PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;47;9;28079047_9_47;2022;06;5;V;7;V;7;V;8;V;6;V;7;V;6;V;7;V;9;V;6;V;10;V;8;V;14;V;23;V;29;V;20;V;21;V;16;V;6;N;4;N;5;V;6;V;7;V;2;N;4;N;7;N;6;V;3;N;5;N;5;V;0;N
28;079;47;9;28079047_9_47;2022;07;10;V;38;V;28;V;4;V;9;V;29;V;5;V;7;V;12;V;9;V;12;V;9;V;16;V;16;V;10;V;10;V;14;V;10;V;7;V;12;V;10;V;15;V;11;V;13;V;11;V;12;V;20;V;9;V;13;V;34;V;28;V
28;079;47;9;28079047_9_47;2022;08;16;V;28;V;19;V;14;V;13;V;8;V;10;V;17;V;10;V;10;V;17;V;22;V;27;V;13;V;12;V;20;V;9;V;5;V;5;V;9;V;12;V;5;V;13;V;19;V;16;V;19;V;15;V;22;V;34;V;12;V;7;V
28;079;47;10;28079047_10_47;2022;01;22;V;20;V;30;V;20;V;5;V;10;V;13;V;15;V;6;V;12;V;17;V;10;N;0;N;8;N;9;V;13;V;12;V;12;V;9;V;8;V;6;V;7;V;8;V;9;V;7;V;8;V;9;V;8;V;7;V;8;V;9;V
28;079;47;10;28079047_10_47;2022;02;5;V;9;V;9;V;12;V;8;V;4;V;6;V;6;V;8;V;10;V;13;V;11;V;11;V;3;V;4;V;4;V;7;V;9;V;4;V;4;V;7;V;3;V;5;V;21;V;15;V;10;V;15;V;19;V;0;N;0;N;0;N
28;079;47;10;28079047_10_47;2022;03;24;V;13;V;15;V;6;V;6;V;5;V;9;V;8;V;18;V;19;V;14;N;0;N;0;N;190;N;443;V;140;V;32;V;13;V;20;V;19;V;9;V;6;V;13;V;13;V;22;V;17;V;33;V;56;V;55;N;29;V;14;V
28;079;47;10;28079047_10_47;2022;04;7;V;5;V;5;V;12;V;15;V;13;V;16;V;12;V;9;V;13;V;23;V;6;V;9;V;10;V;18;V;15;V;12;V;14;V;16;V;4;V;9;V;8;V;4;V;9;V;12;V;15;V;11;V;13;V;18;V;35;V;0;N
28;079;47;10;28079047_10_47;2022;05;34;V;15;V;12;N;15;V;18;V;13;V;13;V;9;V;16;V;19;V;22;V;27;V;24;V;26;V;27;V;20;V;15;V;20;V;41;V;32;V;30;V;30;V;14;V;11;V;10;V;12;V;9;V;15;V;21;V;20;V;21;V
28;079;47;10;28079047_10_47;2022;06;16;V;17;V;19;V;21;V;11;V;17;V;15;V;16;V;17;V;14;V;26;V;19;V;38;V;72;V;98;V;62;V;49;V;48;V;21;N;13;N;15;V;15;V;14;V;6;N;10;N;16;N;12;V;10;N;13;N;12;V;0;N
28;079;47;10;28079047_10_47;2022;07;23;V;52;V;47;V;23;V;25;V;49;V;13;V;16;V;25;V;18;V;25;V;24;V;37;V;37;V;30;V;27;V;28;V;29;V;24;V;29;V;30;V;39;V;24;V;34;V;29;V;21;V;29;V;13;V;18;V;37;V;41;V
28;079;47;10;28079047_10_47;2022;08;28;V;45;V;35;V;37;V;29;V;22;V;22;V;35;V;31;V;33;V;48;V;78;V;83;V;26;V;21;V;35;V;13;V;12;V;13;V;17;V;23;V;13;V;24;V;39;V;35;V;29;V;26;V;34;V;54;V;37;V;24;V
28;079;47;12;28079047_12_8;2022;01;116;V;112;V;150;V;99;V;21;V;52;V;78;V;77;V;29;V;101;V;98;V;82;V;84;V;93;V;96;V;92;V;170;V;186;V;201;V;104;V;76;V;57;V;54;V;70;V;58;V;85;V;141;V;143;V;118;V;135;V;130;V
28;079;47;12;28079047_12_8;2022;02;28;V;176;V;128;V;114;V;35;V;50;V;106;V;83;V;113;V;132;V;107;V;61;V;33;V;18;V;56;V;54;V;125;V;105;V;22;V;41;V;103;V;70;V;105;V;114;V;46;V;30;V;26;V;68;V;0;N;0;N;0;N
