tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Centro educativo;Pública;096;Navalcarnero;CALLE;de Monteclaro;s/n;;;28600;CEIP FELIPE IV HALL DE ENTRADA;413507;4460644;HORARIO LECTIVO;2017-126
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;096;Navalcarnero;CALLE;de Camilo José Cela;s/n;;;28600;CAMPO DE FÚTBOL LOS MANZANOS EN LA ENTRADA A VESTUARIOS;412992;4459745;9:00 A 23:00;2017-128
Otros;Privada;044;Colmenarejo;CALLE;de la Cañada Real;37;;;28270;COMUNIDAD DE PROPIETARIOS PARQUE AZUL EDIFICIO DEL CLUB SOCIAL;413670;4490956;24 HORAS;2017-142
Establecimiento dependiente de una Administración Pública;Privada;079;Madrid;CALLE;de Emilio Vargas;7;B;;28043;ENRESA SA ;444537;4477719;24 HORAS;2017-146
Establecimiento dependiente de una Administración Pública;Privada;079;Madrid;CALLE;de Emilio Vargas;7;B;;28043;ENRESA SA ;444520;4477777;24 HORAS;2017-147
Otros;Privada;079;Madrid;AVDA;de América;25;BAJA;;28002;U.G.T. ;442775;4476716;;2017-157
Otros;Privada;079;Madrid;CALLE;de Azcona;53;;;28028;U.G.T. RECEPCIÓN. DETRÁS DEL MOSTRADOR;443496;4476362;;2017-158
Establecimiento dependiente de una Administración Pública;Pública;113;Pinto;CALLE;Asturias;s/n;;;28320;PISTAS MUNICIPALES DE TENIS JUNTO A MOSTRADOR DE CONSERJERÍA;441258;4456164;09:00 A 21:00;2017-8
Establecimiento dependiente de una Administración Pública;Pública;113;Pinto;CALLE;Italia;6;;;28320;EDIFICIO CONCEJALÍA EDUCACIÓN HALL PRINCIPAL DE ENTRADA;440932;4455914;08:00 A 20:00;2017-20
Centro educativo;Pública;113;Pinto;CALLE;Francisco Bores;S/N;;;28320;ESCUELA MUNICIPAL DE MÚSICA HALL DE ENTRADA FRENTE MOSTRADOR ATENCIÓN PÚBLICO;440554;4456429;16:00A 22:00;2017-21
Centro de trabajo con más de 250 trabajadores;Pública;115;Pozuelo de Alarcón;PASEO;del Príncipe;3;;;28223;RADIOTELEVISIÓN MADRID PLANTA 0 JUNTO A HALL DE RECEPCÍÓN;433091;4472101;;2017-25
Establecimiento público con aforo igual o superior a 2000 personas;Pública;022;Boadilla del Monte;AVDA;de Isabel de Farnesio;16;;;28660;AUDITORIO. ESCUELA DE MÚSICA Y DANZA EN EL HALL DE ENTRADA;424721;4472840;DE LUNES A SÁBADO DE 8:00 A 21:00;2017-63
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;AVDA;de Isabel de Farnesio;33;;;28660;BIBLIOTECA MUNICIPAL JOSÉ ORTEGA Y GASSET EN EL HALL DE ENTRADA;424974;4472408;L A V DE 9:00 A 22:00. S Y D: DE 10:00 A 22:00;2017-64
