FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dbe,3917684,POINT (374615.09062722133 4064906.4285506085),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Paseo de Sancha,12<br /> <b>N° Plazas: </b> 10<br/> <b>Descripción:</b> Frente Escuela Turismo. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dbd,3917685,POINT (372501.44480781077 4063643.8089194414),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Pso. Antonio Machado,14<br /> <b>N° Plazas: </b> 20<br/> <b>Descripción:</b> Esquina con Cl. Ingeniero José Mª Garnica ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dbc,3917686,POINT (372357.7310700421 4064547.8013400054),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Armengual de la Mota,8<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Esquina con c/ Hilera ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dbb,3917687,POINT (378421.44943931716 4064743.383797241),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Av. Estación de el Palo,4<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> A la altura de la Escuela de Español para extranjeros de la UMA. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5dba,3917688,POINT (379139.1890168674 4064873.962299619),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Idumea,1<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> A la altura del I.E.S. Mediterráneo ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db9,3917689,POINT (377607.02579310926 4065258.8162290584),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Manuel de Palacios,15<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> Frente a c/ Pintor Martínez Cubells. ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db8,3917690,POINT (379645.6246802698 4064291.4156944794),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Playa del Chanquete,0<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> A la altura del Tintero ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db7,3917691,POINT (372185.26060349395 4065705.466821096),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Arroyo de los Ángeles,29<br /> <b>N° Plazas: </b> 8<br/> <b>Descripción:</b> Frente al Cuartel de la Guardia Civil ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db6,3917692,POINT (371979.29277930106 4065805.8712529885),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Arroyo de los Ángeles,43<br /> <b>N° Plazas: </b> 4<br/> <b>Descripción:</b> Esquina con c/ Blas de Lezo ",,,,,-1,0,-1,0,
da_aparcamientosBici.fid--38ffa188_183ad60cc0b_-5db5,3917693,POINT (371933.9839465034 4065851.8716918314),APARCA BICICLETAS," <div style='float: right; text-align: left'><img style='margin-right: 20px;' src='http://movilidad.malaga.eu/opencms/export/system/modules/eu.malaga.ayto.movilidad.trafico/resources/images/ico-bici.png'></div> <b>Ubicación:</b> Arroyo de los Ángeles,49<br /> <b>N° Plazas: </b> 6<br/> <b>Descripción:</b> Esquina con c/ Blas de Lezo ",,,,,-1,0,-1,0,
