stop_id,stop_code,stop_name,street_name,street_number,stop_lat,stop_lon,zone_id,stop_url,stop_timezone
par_8_06795,06795,AV.SIERRA-CERVANTES,Avda de la Sierra,10,40.5504302978516,-3.63275766372681,B1,http://www.crtm.es,Europe/Madrid
par_8_07386,07386,AV.LOGROÑO-JARDINES DE ARANJUEZ,Avda de Logroño,34,40.4537811279297,-3.60440683364868,A,http://www.crtm.es,Europe/Madrid
par_8_18064,18064,SUERTE-MAGIA,Avda de la Magia,17,40.5551223754883,-3.6573338508606,B1,http://www.crtm.es,Europe/Madrid
par_8_1316,1316,AV.LOGROÑO-ARIADNA,Avda de Logroño,303,40.4689979553223,-3.58163499832153,A,http://www.crtm.es,Europe/Madrid
par_8_10450,10450,AV.NAVARRONDÁN -PºSEGOVIA,Avda de Navarrondán,43,40.5609321594238,-3.62885212898254,B1,http://www.crtm.es,Europe/Madrid
par_8_06813,06813,DALIA-AZALEA,Calle Dalia,385,40.5247993469238,-3.63492488861084,B1,http://www.crtm.es,Europe/Madrid
par_8_06832,06832,CAMINO VIEJO-PºCONDE DE LOS GAITANES,Calle del Camino Viejo,88,40.5248489379883,-3.60856294631958,B1,http://www.crtm.es,Europe/Madrid
par_8_12926,12926,AV.BRUSELAS-ÁREA SANITARIA 5,Avda de Bruselas,37,40.5281944274902,-3.64324522018433,B1,http://www.crtm.es,Europe/Madrid
par_8_15319,15319,AV.ERMITA-C.C.LA VEGA,Avda de la Ermita,5,40.5352897644043,-3.63589787483215,B1,http://www.crtm.es,Europe/Madrid
par_8_06863,06863,CTRA.A1-CUESTA BLANCA,Ctra A-1 (VÍA DE SERVICIO),14.200,40.5223350524902,-3.65168905258179,B1,http://www.crtm.es,Europe/Madrid
par_8_07527,07527,MANUEL DE FALLA-PARQUE EXTREMADURA,Calle Manuel de Falla,SN,40.552059173584,-3.64443016052246,B1,http://www.crtm.es,Europe/Madrid
par_8_11534,11534,AV.PARQUE-EINSTEIN,Avda del Parque,30,40.5930938720703,-3.70620608329773,B2,http://www.crtm.es,Europe/Madrid
par_8_07373,07373,MARQUÉS VALDAVIA-CAMILO JOSÉ CELA,Calle del Marqués de la Valdavia,123,40.5471267700195,-3.65675950050354,B1,http://www.crtm.es,Europe/Madrid
par_8_12928,12928,AV.ERMITA-C.C.LA VEGA,Avda de la Ermita,5,40.535026550293,-3.63602519035339,B1,http://www.crtm.es,Europe/Madrid
par_8_06650,06650,VADO-COLEGIO,Calle del Vado,66,40.6004905700684,-3.70191073417664,B2,http://www.crtm.es,Europe/Madrid
par_8_07236,07236,AV.ESPAÑA-M.SEBASTIÁN IZUEL,Avda de España,72,40.5409965515137,-3.62847685813904,B1,http://www.crtm.es,Europe/Madrid
par_8_12343,12343,PºLOS PARQUES-ESTAFETA,Paseo de los Parques,6,40.5129585266113,-3.6516809463501,B1,http://www.crtm.es,Europe/Madrid
par_8_07374,07374,CTRA.M616-COLEGIO,Ctra del Goloso,4600,40.5531806945801,-3.67543268203735,B1,http://www.crtm.es,Europe/Madrid
par_8_16923,16923,CTRA.MEDIODÍA-URB.PUERTA ENCINAR II,Ctra del Mediodía,50,40.5105857849121,-3.64878964424133,B1,http://www.crtm.es,Europe/Madrid
par_8_09435,09435,CAMINO HUERTA-VEREDA LOS ÁLAMOS,Calle Camino de la Huerta,61,40.512767791748,-3.6224057674408,B1,http://www.crtm.es,Europe/Madrid
par_8_10227,10227,CTRA.M100-CºVIEJO DE BARAJAS,Ctra Algete,22200,40.5834121704102,-3.57415270805359,B2,http://www.crtm.es,Europe/Madrid
par_8_18636,18636,NEWTON-FCO.TOMÁS Y VALIENTE,Calle de Newton,13,40.5473022460938,-3.69028925895691,B1,http://www.crtm.es,Europe/Madrid
par_8_11335,11335,NARDO-COMPLEJO DEPORTIVO,Calle del Nardo,SN,40.5294075012207,-3.63709378242493,B1,http://www.crtm.es,Europe/Madrid
par_8_11796,11796,AV.BRUSELAS-FRANCISCA DELGADO,Avda de Bruselas,6,40.5311813354492,-3.6324348449707,B1,http://www.crtm.es,Europe/Madrid
par_8_15852,15852,MAYOR-PARQUE LOS OLIVOS,Calle de los Palomares,21,40.5967178344727,-3.50285887718201,B3,http://www.crtm.es,Europe/Madrid
par_8_16911,16911,CALABOZOS-FRANCISCO GERVÁS,Calle de los Calabozos,2,40.5308952331543,-3.65161848068237,B1,http://www.crtm.es,Europe/Madrid
par_8_11229,11229,PºCHOPERA-PINTOR SOROLLA,Paseo de la Chopera,29,40.5412139892578,-3.64138579368591,B1,http://www.crtm.es,Europe/Madrid
par_8_19286,19286,SALVADOR MADARIAGA-C.C.ALEGRA,Calle Salvador de Madariaga,1,40.5669898986816,-3.60923981666565,B1,http://www.crtm.es,Europe/Madrid
par_8_06805,06805,AV.ARAGÓN-INSTITUTO,Avda de Aragón,3 B,40.558464050293,-3.63004565238953,B1,http://www.crtm.es,Europe/Madrid
par_8_06660,06660,AV.COLMENAR VIEJO-DESCUBRIDORES,Avda de Colmenar Viejo,46,40.6089897155762,-3.71448230743408,B2,http://www.crtm.es,Europe/Madrid
par_8_1321,1321,AV.LOGROÑO-ALGEMESI,Avda de Logroño,130,40.4722862243652,-3.58168697357178,A,http://www.crtm.es,Europe/Madrid
par_8_16924,16924,CTRA.MEDIODÍA-VEREDA DEL PALACIO,Ctra del Mediodía,50,40.5081787109375,-3.64573311805725,B1,http://www.crtm.es,Europe/Madrid
par_8_3265,3265,AV.BURGOS Nº 87-PASO ELEVADO,Avda de Burgos,87,40.4900245666504,-3.67299365997314,A,http://www.crtm.es,Europe/Madrid
par_8_07369,07369,CTRA-M12-LA MORALEJA,Ctra de Barajas,4,40.5252838134766,-3.59975957870483,B1,http://www.crtm.es,Europe/Madrid
par_8_12724,12724,MARQUÉS VALDAVIA-EST.VALDELASFUENTES,Calle del Marqués de la Valdavia,105,40.5466423034668,-3.65350723266602,B1,http://www.crtm.es,Europe/Madrid
par_8_13132,13132,PºPARQUES-CTRA.A1,Paseo de los Parques,SN,40.5134811401367,-3.65497922897339,B1,http://www.crtm.es,Europe/Madrid
par_8_09681,09681,AV.ENCUARTES-LUNA,Avda de los Encuartes,17,40.6017684936523,-3.71390891075134,B2,http://www.crtm.es,Europe/Madrid
par_8_06827,06827,PºALCOBENDAS-C.C.BULEVAR,Paseo de Alcobendas,10,40.5280609130859,-3.62173247337341,B1,http://www.crtm.es,Europe/Madrid
par_8_07376,07376,CTRA.M616-UNIVERSIDAD COMILLAS,Ctra M-616 (Alcobendas),5300,40.5531044006348,-3.68221139907837,B1,http://www.crtm.es,Europe/Madrid
par_8_15848,15848,AV.MADRID-VALENCIA,Avda de Madrid,21,40.5498466491699,-3.63788962364197,B1,http://www.crtm.es,Europe/Madrid
par_8_11793,11793,AV.VEGA-ANABEL SEGURA,Avda de la Vega,7,40.5355758666992,-3.6278121471405,B1,http://www.crtm.es,Europe/Madrid
par_8_16438,16438,CTRA.ANTIGUA DE BURGOS-C.C.ALEGRA,Ctra N-I ( Burgos),19900,40.566089630127,-3.6059238910675,B1,http://www.crtm.es,Europe/Madrid
par_8_06757,06757,GRANJA-AV.INDUSTRIA,Calle de la Granja,78,40.5339736938477,-3.65680813789368,B1,http://www.crtm.es,Europe/Madrid
par_8_06648,06648,VADO-MARTE,Calle del Vado,44,40.598503112793,-3.70161819458008,B2,http://www.crtm.es,Europe/Madrid
par_8_16944,16944,CAMINO ANCHO-HALCÓN,Calle del Camino Ancho,84,40.5258369445801,-3.62628102302551,B1,http://www.crtm.es,Europe/Madrid
par_8_15317,15317,RUPERTO CHAPÍ-TEATRO AUDITORIO,Calle de Ruberto Chapi,19,40.5485649108887,-3.64308571815491,B1,http://www.crtm.es,Europe/Madrid
par_8_06839,06839,CAMINO NUEVO-PZA.SOTO,Calle Camino Nuevo,4,40.5179023742676,-3.64868330955505,B1,http://www.crtm.es,Europe/Madrid
