idPerson,dateTime,idDateTime,idAccident,street,streetID,district,idDistrict,wikidata_URI,accident_type,weather_status,bicycle_is_electronic,person_type,age_range,sex,hospitalized,coordinate_x_utm,coordinate_y_utm,positive_alcohol
2019S004582,2019-01-19T11:10:00+02:00,201901191110000200,2019011911100002002019S004582,CTRA. EL PARDO A FUENCARRAL,CTRAELPARDOAFUENCARRAL,Fuencarral-El Pardo,FUENCARRALELPARDO,https://www.wikidata.org/wiki/Q656196,Fall,Clear,0,Driver,30 - 34,Man,1,438.875.430,4.484.216.739,0
2019S004601,2019-01-17T19:50:00+02:00,201901171950000200,2019011719500002002019S004601,ARENAL,ARENAL,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Lateral collision,Clear,0,Driver,21 - 24,Man,0,439.899.054,4.474.381.586,0
2019S004769,2019-01-18T07:55:00+02:00,20190118755000200,201901187550002002019S004769,GENOVA,GENOVA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Fall,Clear,0,Driver,50 - 54,Man,1,441.007.753,4.475.438.297,0
2019S004939,2019-01-21T16:50:00+02:00,201901211650000200,2019012116500002002019S004939,SAN ENRIQUE DE OSSO,SANENRIQUEDEOSSO,Hortaleza,HORTALEZA,https://www.wikidata.org/wiki/Q1928529,Frontal-lateral collision,Clear,0,Driver,10 - 14,Man,1,445.590.705,4.484.052.684,0
2019S005036,2019-01-24T11:15:00+02:00,201901241115000200,2019012411150002002019S005036,BRAVO MURILLO,BRAVOMURILLO,Tetuán,TETUAN,https://www.wikidata.org/wiki/Q1773540,Hitting a person,Clear,0,Driver,55 - 59,Man,0,440.734.502,4.479.027.422,0
2019S005036,2019-01-24T11:15:00+02:00,201901241115000200,2019012411150002002019S005036,BRAVO MURILLO,BRAVOMURILLO,Tetuán,TETUAN,https://www.wikidata.org/wiki/Q1773540,Hitting a person,Clear,0,Pedestrian,55 - 59,Woman,0,440.734.502,4.479.027.422,0
2019S005062,2019-01-23T15:38:00+02:00,201901231538000200,2019012315380002002019S005062,AVDA. ALBUFERA,AVDAALBUFERA,Puente de Vallecas,PUENTEDEVALLECAS,https://www.wikidata.org/wiki/Q2003054,Frontal-lateral collision,Clear,0,Driver,65 - 69,Man,0,444.209.966,4.471.480.436,0
2019S005101,2019-01-18T13:00:00+02:00,201901181300000200,2019011813000002002019S005101,VILLABLANCA,VILLABLANCA,Vicálvaro,VICALVARO,https://www.wikidata.org/wiki/Q589403,Frontal-lateral collision,Clear,0,Driver,60 - 64,Man,1,448.452.543,4.473.281.704,0
2019S005992,2019-01-25T09:12:00+02:00,20190125912000200,201901259120002002019S005992,CALLE ALFONSO XI,CALLEALFONSOXI,Retiro,RETIRO,https://www.wikidata.org/wiki/Q2002296,Frontal-lateral collision,Clear,0,Driver,35 - 39,Man,0,441.419.410,4.474.558.056,0
2019S006032,2019-01-26T21:35:00+02:00,201901262135000200,2019012621350002002019S006032,MARIA DE MOLINA,MARIADEMOLINA,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Scope,Clear,0,Driver,25 - 29,Man,0,442.430.470,4.476.525.038,0
2019S006478,2019-01-28T18:00:00+02:00,201901281800000200,2019012818000002002019S006478,MENDEZ ALVARO,MENDEZALVARO,Arganzuela,ARGANZUELA,https://www.wikidata.org/wiki/Q2000929,Fall,Clear,0,Driver,55 - 59,Man,0,442.507.828,4.471.603.239,0
2019S006501,2019-01-27T16:15:00+02:00,201901271615000200,2019012716150002002019S006501,ALCALA,ALCALA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Hitting a person,Clear,0,Driver,25 - 29,Man,1,440.960.299,4.474.465.363,0
2019S006501,2019-01-27T16:15:00+02:00,201901271615000200,2019012716150002002019S006501,ALCALA,ALCALA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Hitting a person,Clear,0,Pedestrian,25 - 29,Woman,0,440.960.299,4.474.465.363,0
2019S006584,2019-01-12T22:25:00+02:00,201901122225000200,2019011222250002002019S006584,GENERAL RICARDOS,GENERALRICARDOS,Carabanchel,CARABANCHEL,https://www.wikidata.org/wiki/Q1001991,Frontal-lateral collision,Clear,0,Driver,18 - 20,Man,0,437.897.401,4.471.144.739,0
2019S006649,2019-01-30T11:41:00+02:00,201901301141000200,2019013011410002002019S006649,TOMASA RUIZ,TOMASARUIZ,Carabanchel,CARABANCHEL,https://www.wikidata.org/wiki/Q1001991,Crash against fixed obstacle,Clear,0,Driver,30 - 34,Man,NULL,439.683.831,4.471.991.241,0
2019S006655,2019-01-30T13:20:00+02:00,201901301320000200,2019013013200002002019S006655,AVDA. CARABANCHEL ALTO,AVDACARABANCHELALTO,Carabanchel,CARABANCHEL,https://www.wikidata.org/wiki/Q1001991,Frontal collision,Clear,0,Driver,10 - 14,Woman,0,436.009.268,4.468.610.210,0
2019S007634,2019-01-24T19:58:00+02:00,201901241958000200,2019012419580002002019S007634,AVDA. ALBUFERA,AVDAALBUFERA,Puente de Vallecas,PUENTEDEVALLECAS,https://www.wikidata.org/wiki/Q2003054,Lateral collision,Clear,0,Driver,30 - 34,Man,0,443.619.585,4.471.900.704,0
2019S007753,2019-02-02T0:03:00+02:00,20190202003000200,201902020030002002019S007753,MARIA DE MOLINA,MARIADEMOLINA,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Fall,Clear,0,Driver,35 - 39,Man,1,441.729.535,4.476.572.025,0
2019S007855,2019-02-01T13:30:00+02:00,201902011330000200,2019020113300002002019S007855,DOCTOR ESQUERDO,DOCTORESQUERDO,Retiro,RETIRO,https://www.wikidata.org/wiki/Q2002296,Scope,Clear,0,Driver,35 - 39,Woman,0,443.187.871,4.473.979.902,0
2019S007891,2019-02-01T0:15:00+02:00,20190201015000200,201902010150002002019S007891,FRANCISCO SANTOS,FRANCISCOSANTOS,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Frontal-lateral collision,Light rain,0,Driver,45 - 49,Man,0,443.411.557,4.476.215.867,0
2019S007920,2019-02-02T11:07:00+02:00,201902021107000200,2019020211070002002019S007920,MARCELO USERA,MARCELOUSERA,Usera,USERA,https://www.wikidata.org/wiki/Q953368,Hitting a person,Clear,0,Driver,50 - 54,Woman,0,439.556.926,4.470.765.498,0
2019S007920,2019-02-02T11:07:00+02:00,201902021107000200,2019020211070002002019S007920,MARCELO USERA,MARCELOUSERA,Usera,USERA,https://www.wikidata.org/wiki/Q953368,Hitting a person,Clear,0,Pedestrian,70 - 74,Woman,0,439.556.926,4.470.765.498,0
2019S008448,2019-02-06T08:05:00+02:00,20190206805000200,201902068050002002019S008448,AVDA. LLANO CASTELLANO,AVDALLANOCASTELLANO,Fuencarral-El Pardo,FUENCARRALELPARDO,https://www.wikidata.org/wiki/Q656196,Hitting a person,Clear,0,Driver,45 - 49,Man,1,441.854.106,4.482.446.712,0
2019S008448,2019-02-06T08:05:00+02:00,20190206805000200,201902068050002002019S008448,AVDA. LLANO CASTELLANO,AVDALLANOCASTELLANO,Fuencarral-El Pardo,FUENCARRALELPARDO,https://www.wikidata.org/wiki/Q656196,Hitting a person,Clear,0,Pedestrian,15 - 17,Woman,0,441.854.106,4.482.446.712,0
2019S008460,2019-02-01T01:40:00+02:00,20190201140000200,201902011400002002019S008460,SANTA ENGRACIA,SANTAENGRACIA,Chamberí,CHAMBERI,https://www.wikidata.org/wiki/Q1763370,Frontal-lateral collision,Light rain,0,Driver,21 - 24,Man,0,440.471.429,4.477.057.485,0
2019S008489,2019-02-06T10:25:00+02:00,201902061025000200,2019020610250002002019S008489,JUAN BRAVO,JUANBRAVO,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Frontal collision,Clear,0,Driver,50 - 54,Man,1,442.186.653,4.476.021.595,0
2019S008627,2019-02-06T17:30:00+02:00,201902061730000200,2019020617300002002019S008627,ALCALA,ALCALA,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Scope,Clear,0,Driver,40 - 44,Man,NULL,442.981.558,4.475.311.486,0
2019S008637,2019-02-03T17:00:00+02:00,201902031700000200,2019020317000002002019S008637,ALTAMIRANO,ALTAMIRANO,Moncloa-Aravaca,MONCLOAARAVACA,https://www.wikidata.org/wiki/Q2017682,Fall,Clear,0,Driver,45 - 49,Woman,1,438.742.262,4.475.674.435,0
2019S008855,2019-02-06T19:40:00+02:00,201902061940000200,2019020619400002002019S008855,AGUSTIN DE FOXA,AGUSTINDEFOXA,Chamartín,CHAMARTIN,https://www.wikidata.org/wiki/Q1766348,Frontal-lateral collision,Clear,0,Driver,30 - 34,Man,1,442.026.904,4.480.356.125,0
2019S009001,2019-02-07T09:15:00+02:00,20190207915000200,201902079150002002019S009001,PRADILLO,PRADILLO,Chamartín,CHAMARTIN,https://www.wikidata.org/wiki/Q1766348,Crash against fixed obstacle,Clear,0,Driver,35 - 39,Man,0,443.119.342,4.477.826.407,0
2019S009106,2019-02-07T18:50:00+02:00,201902071850000200,2019020718500002002019S009106,PRINCIPE DE VERGARA,PRINCIPEDEVERGARA,Chamartín,CHAMARTIN,https://www.wikidata.org/wiki/Q1766348,Fall,Clear,0,Driver,35 - 39,Woman,1,442.422.865,4.476.979.381,0
2019S009136,2019-02-07T16:10:00+02:00,201902071610000200,2019020716100002002019S009136,VALLEHERMOSO,VALLEHERMOSO,Chamberí,CHAMBERI,https://www.wikidata.org/wiki/Q1763370,Scope,NULL,0,Driver,30 - 34,Man,NULL,439.898.793,4.476.277.418,0
2019S009150,2019-02-06T16:40:00+02:00,201902061640000200,2019020616400002002019S009150,GRAN VIA,GRANVIA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Fall,Clear,0,Driver,35 - 39,Man,1,440.876.375,4.474.498.071,0
2019S009715,2019-02-10T13:45:00+02:00,201902101345000200,2019021013450002002019S009715,PRINCIPE DE VERGARA,PRINCIPEDEVERGARA,Chamartín,CHAMARTIN,https://www.wikidata.org/wiki/Q1766348,Lateral collision,Clear,0,Driver,21 - 24,Man,0,442.551.261,4.478.226.356,0
2019S009731,2019-02-08T22:30:00+02:00,201902082230000200,2019020822300002002019S009731,ALCALA,ALCALA,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Fall,NULL,0,Driver,50 - 54,Woman,0,440.571.640,4.474.339.291,0
2019S009733,2019-02-10T16:05:00+02:00,201902101605000200,2019021016050002002019S009733,PASEO. REINA CRISTINA,PASEOREINACRISTINA,Retiro,RETIRO,https://www.wikidata.org/wiki/Q2002296,Frontal-lateral collision,NULL,0,Driver,21 - 24,Man,NULL,442.124.157,4.473.170.424,0
2019S009806,2019-02-08T21:40:00+02:00,201902082140000200,2019020821400002002019S009806,MESON DE PAREDES,MESONDEPAREDES,Centro,CENTRO,https://www.wikidata.org/wiki/Q1763376,Frontal-lateral collision,Clear,0,Driver,25 - 29,Man,0,440.179.370,4.473.656.788,0
2019S009942,2019-02-11T14:15:00+02:00,201902111415000200,2019021114150002002019S009942,ALCALA,ALCALA,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Scope,Clear,0,Driver,25 - 29,Man,0,442.051.387,4.474.763.641,0
2019S009957,2019-02-11T16:13:00+02:00,201902111613000200,2019021116130002002019S009957,SERRANO,SERRANO,Salamanca,SALAMANCA,https://www.wikidata.org/wiki/Q1773521,Scope,Clear,0,Driver,35 - 39,Man,0,441.589.896,4.474.763.660,0
