Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion
"442630,95","4478723,71",5  CHAMARTÍN,05-04 HISPANOAMÉRICA,24,-3.6766176,40.4571995,"COLOMBIA, CALLE, DE, 7"
"438745,93","4474862,31",9  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,24,-3.7220624,40.4221372,"FLORIDA, PASEO, DE LA, 8"
"438754,04","4474853,3",9  MONCLOA-ARAVACA,09-01 CASA DE CAMPO,3,-3.7219659,40.4220566,"FLORIDA, PASEO, DE LA, 6"
"439688,47","4472787,76",2  ARGANZUELA,02-02 ACACIAS,24,-3.7107559,40.4035176,"OLMOS, PASEO, DE LOS, 28"
"440055,04","4472797,85",2  ARGANZUELA,02-02 ACACIAS,21,-3.7064372,40.4036349,"ESPERANZA, PASEO, DE LA, 0,0833333333333333"
"441063,58","4472068,5",2  ARGANZUELA,02-05 DELICIAS,24,-3.6944851,40.3971366,"DELICIAS, PASEO, DE LAS, 94"
"440794,37","4471598,57",2  ARGANZUELA,02-03 CHOPERA,27,-3.6976134,40.3928841,"CHOPERA, PASEO, DE LA, frente 49"
"439478,68","4473946,37",1  CENTRO,01-01 PALACIO,24,-3.7133382,40.4139396,"SEGOVIA, CALLE, DE, 21"
"439113,04","4473926,4",2  ARGANZUELA,02-01 IMPERIAL,24,-3.7176456,40.4137331,"SEGOVIA, CALLE, DE, 47 A"
"440948,66","4472895,98",2  ARGANZUELA,02-06 PALOS DE MOGUER,24,-3.6959159,40.4045828,"SANTA MARIA DE LA CABEZA, PASEO, DE, frente 32"
"439424,51","4472574,58",2  ARGANZUELA,02-02 ACACIAS,24,-3.713846,40.401578,"TOLEDO, CALLE, DE, 181"
"440225,41","4472515,53",2  ARGANZUELA,02-02 ACACIAS,24,-3.704403,40.4011039,"ESPERANZA, PASEO, DE LA, 21"
"440729,75","4472362,64",2  ARGANZUELA,02-05 DELICIAS,24,-3.6984459,40.3997626,"EMBAJADORES, CALLE, DE, 97"
"441146,63","4472482,09",2  ARGANZUELA,02-06 PALOS DE MOGUER,24,-3.6935448,40.4008683,"BUSTAMANTE, CALLE, DE, 1"
"440396,07","4472189,13",2  ARGANZUELA,02-02 ACACIAS,24,-3.7023615,40.3981757,"ESPERANZA, PASEO, DE LA, 59"
"440054,62","4472107,63",2  ARGANZUELA,02-02 ACACIAS,27,-3.7063771,40.397417,"YESERIAS, PASEO, DE LAS, 8"
"440738,79","4471974,72",2  ARGANZUELA,02-03 CHOPERA,21,-3.6983033,40.3962687,"JAIME EL CONQUISTADOR, CALLE, DE, 30"
"441133,61","4471746,54",2  ARGANZUELA,02-05 DELICIAS,24,-3.6936302,40.3942411,"ALICANTE, CALLE, DE, 3"
"441092,45","4471442,79",2  ARGANZUELA,02-05 DELICIAS,24,-3.694087,40.3915019,"BOLIVAR, CALLE, DE, 3"
"442391,73","4472711,75",3  RETIRO,03-01 PACÍFICO,24,-3.6788939,40.4030242,"LEON GIL DE PALACIO, CALLE, DE, 1"
"443221,91","4472140,39",13  PUENTE DE VALLECAS,13-02 SAN DIEGO,24,-3.6690602,40.3979341,"M-30, AUTOVIA, S/N"
"442636,16","4471722,03",2  ARGANZUELA,02-07 ATOCHA,24,-3.6759244,40.3941252,"RETAMA, CALLE, DE LA, 5"
"442595,87","4474391,99",3  RETIRO,03-04 IBIZA,27,-3.67664,40.4181748,"IBIZA, CALLE, DE, 18"
"443541,21","4474444,72",3  RETIRO,03-03 ESTRELLA,24,-3.6655023,40.4187145,"ALCALDE SAINZ DE BARANDA, CALLE, DEL, 90"
"443212,07","4475215,51",4  SALAMANCA,04-02 GOYA,24,-3.6694506,40.4256358,"HERMOSILLA, CALLE, DE, 135"
"443563,66","4475253,54",4  SALAMANCA,04-03 FUENTE DEL BERRO,24,-3.6653095,40.4260023,"MARQUES DE ZAFRA, PASEO, DEL, 24"
"443883,24","4475147,45",4  SALAMANCA,04-03 FUENTE DEL BERRO,24,-3.661533,40.4250682,"MARQUES DE ZAFRA, GLORIETA, DEL, frente 4"
"442466,16","4475602,3",4  SALAMANCA,04-05 LISTA,24,-3.6782783,40.429069,"GENERAL PARDIÑAS, CALLE, DEL, 56"
"443691,7","4475711,36",4  SALAMANCA,04-03 FUENTE DEL BERRO,24,-3.6638407,40.4301353,"ALEJANDRO GONZALEZ, CALLE, DE, 1"
"444111,11","4475822,61",15  CIUDAD LINEAL,15-01 VENTAS,27,-3.6589062,40.4311658,"DAROCA, AVENIDA, DE, 2"
"444399,55","4476248,37",15  CIUDAD LINEAL,15-04 CONCEPCIÓN,24,-3.6555431,40.4350206,"VIRGEN DE LA ALEGRIA, CALLE, DE LA, 18"
"442030,24","4476194,79",4  SALAMANCA,04-06 CASTELLANA,24,-3.6834711,40.4343761,"VELAZQUEZ, CALLE, DE, 91"
"442830,66","4476215,36",4  SALAMANCA,04-04 GUINDALERA,18,-3.6740365,40.4346168,"ALONSO HEREDIA, CALLE, DE, 1"
"443049,28","4475907,11",4  SALAMANCA,04-04 GUINDALERA,27,-3.6714315,40.431855,"TOREROS, AVENIDA, DE LOS, 3"
"443540,74","4475977,26",4  SALAMANCA,04-04 GUINDALERA,24,-3.665644,40.4325204,"TOREROS, AVENIDA, DE LOS, 47"
"442564,99","4476503,98",4  SALAMANCA,04-04 GUINDALERA,24,-3.6771947,40.4371986,"FRANCISCO SILVELA, CALLE, DE, 86"
