CODIGO;"ZONA VERDE / 
VIA PUBLICA";DISTRITO;DIRECCION;COMPLEMENTO DE DIRECCI‡N ;COORD, X;COORD, Y;SISTEMA DE COORDENADAS;FECHA DATOS;Longitud;Latitud
FUE_01_0017;ZV;CENTRO;PASEO DEL PRADO;PASEO DEL PRADO;441186,3865;4473797,868;ETRS89 / UTM  Zona 30N;ago.-22;-3.6931979;40.4127243
FUE_01_0018;ZV;CENTRO;CAPITAN SALAZAR MARTINEZ Nß 11;GLORIETA PUERTA DE TOLEDO, JARD÷N DE LAS HERO÷NAS DE SµLVORA;439737,4751;4473188,049;ETRS89 / UTM  Zona 30N;ago.-22;-3.7102162;40.4071271
FUE_01_0020;ZV;CENTRO;PLAZA DOS DE MAYO;PLAZA DOS DE MAYO;440248,1564;4475384,045;ETRS89 / UTM  Zona 30N;ago.-22;-3.7044044;40.4269465
FUE_01_0021;ZV;CENTRO;PARQUE DE ATENAS;JUNTO PISTA DEPORTIVA;438867,16;4474075,74;ETRS89 / UTM  Zona 30N;ago.-22;-3.7205578;40.4150604
FUE_01_0024;ZV;CENTRO;JARDINES PLAZA GABRIEL MIRO;JARDINES PLAZA GABRIEL MIRO;439346,7118;4473805,941;ETRS89 / UTM  Zona 30N;ago.-22;-3.7148802;40.412665
FUE_01_0027;ZV;CENTRO;CALLE SEGOVIA, 30;PARQUE DE ATENAS;439005,2002;4474042,985;ETRS89 / UTM  Zona 30N;ago.-22;-3.7189277;40.4147755
FUE_01_0028;ZV;CENTRO;PARQUE DE ATENAS;JUNTO PISTAS PETANCA Y ESTANQUE;438901,76;4474042,18;ETRS89 / UTM  Zona 30N;ago.-22;-3.7201468;40.4147606
FUE_01_0029;ZV;CENTRO;PARQUE CASINO DE LA REINA;PARQUE CASINO DE LA REINA;440213,5592;4473132,298;ETRS89 / UTM  Zona 30N;ago.-22;-3.7046006;40.4066592
FUE_01_0030;ZV;CENTRO;PARQUE CASINO DE LA REINA;PARQUE CASINO DE LA REINA;440150,8768;4477112,016;ETRS89 / UTM  Zona 30N;ago.-22;-3.7057139;40.4425058
FUE_01_0031;VP;CENTRO;CL ARGANZUELA Nß:1;FUENTE CABESTREROS/  FUENTECILLA DEL LEAL;439735,5452;4473379,122;ETRS89 / UTM  Zona 30N;ago.-22;-3.7102571;40.4088482
FUE_01_0032;VP;CENTRO;CL MESON DE PAREDES, Nß 48;CABESTREROS/ PLAZA NELSON MANDELA;440273,2651;4473434,891;ETRS89 / UTM  Zona 30N;ago.-22;-3.7039254;40.4093894
FUE_01_0033;VP;CENTRO;CL SAN JUSTO Nß:1;PLAZA PUERTA CERRADA;439843,2957;4473930,022;ETRS89 / UTM  Zona 30N;ago.-22;-3.7090393;40.4138188
FUE_01_0034;VP;CENTRO;PLAZA JESUS Nß:4;;439995,0402;4473496,73;ETRS89 / UTM  Zona 30N;ago.-22;-3.7072101;40.4099264
FUE_01_0036;VP;CENTRO;PLAZA CASCORRO Nß:11;;440951,0136;4473425,951;ETRS89 / UTM  Zona 30N;ago.-22;-3.6959374;40.4093572
FUE_01_0037;VP;CENTRO;PLAZA ISABEL II Nß:8;;439838,4509;4474407,334;ETRS89 / UTM  Zona 30N;ago.-22;-3.7091416;40.4181182
FUE_01_0038;VP;CENTRO;PZA. GENERAL VARA DE REY, Nß 3;;439894,0509;4473423,029;ETRS89 / UTM  Zona 30N;ago.-22;-3.7083933;40.4092552
FUE_01_0039;VP;CENTRO;PZA. GABRIEL MIRO, Nß 8;;439337,9101;4473732,938;ETRS89 / UTM  Zona 30N;ago.-22;-3.7149769;40.4120067
FUE_01_0041;VP;CENTRO;C/ SANTA CRUZ DE MARCENADO, 18;ESQUINA C/ CONDE DUQUE (FTE FARMACIA);439804,5471;4475601,772;ETRS89 / UTM  Zona 30N;ago.-22;-3.7096543;40.4288758
FUE_01_0042;VP;CENTRO;PLAZA SANTA MAR÷A SOLEDAD TORRES ACOSTA;FRENTE A CALLE LUNA, 8;440151,64;4474817,1;ETRS89 / UTM  Zona 30N;ago.-22;-3.7054888;40.4218322
FUE_01_0043;VP;CENTRO;CALLE DEL ALMENDRO, 3;;439844,35;4473824,59;ETRS89 / UTM  Zona 30N;ago.-22;-3.709017;40.4128691
FUE_01_0044;VP;CENTRO;CIUDAD RODRIGO, JUNTO ACCESO PZA. MAYOR;CV TRAVES÷A DE BRINGAS;439879,02;4474144,04;ETRS89 / UTM  Zona 30N;ago.-22;-3.7086386;40.4157493
FUE_01_0045;ZV;CENTRO;JARDINES ARQUITECTO RIBERA;DENTRO DE ARENERO ZONA INFANTIL;440651,51;4475261,61;ETRS89 / UTM  Zona 30N;ago.-22;-3.6996383;40.4258724
FUE_01_0046;VP;CENTRO;CALLE ARENAL Nß 18;;440031,29;4474322,66;ETRS89 / UTM  Zona 30N;ago.-22;-3.7068608;40.4173694
FUE_01_0047;ZV;CENTRO;PLAZA DE LAVAPIêS;JUNTO ZONA INFANTIL;440519,31;4473379,46;ETRS89 / UTM  Zona 30N;ago.-22;-3.7010206;40.4089076
FUE_01_0048;ZV;CENTRO;PLAZA DEL PR÷NCIPE ALFONSO Nß5;PLAZA DE SANTA ANA, µREA INFANTIL;440569,19;4474037,7;ETRS89 / UTM  Zona 30N;ago.-22;-3.7004943;40.414841
FUE_01_0049;ZV;CENTRO;PASEO DE RECOLETOS Nß 17;C/V PRIM. EN BULEVAR JUNTO ASEOS PÈBLICOS;441255,76;4474770,46;ETRS89 / UTM  Zona 30N;ago.-22;-3.6924701;40.4214908
FUE_01_0050;ZV;CENTRO;PLAZA JACINTO BENAVENTE Nß 2;C/V PLAZA DEL µNGEL;440345,47;4474000,18;ETRS89 / UTM  Zona 30N;ago.-22;-3.7031275;40.4144869
FUE_01_0051;ZV;CENTRO;CALLE TRES CRUCES, 1;C/V PLAZA DEL CARMEN;440338,32;4474513,31;ETRS89 / UTM  Zona 30N;ago.-22;-3.7032599;40.419109
FUE_01_0052;VP;CENTRO;C/ AUGUSTO FIGUEROA Nß 41;C/V VµLGAME DIOS;440894,84;4474833,97;ETRS89 / UTM  Zona 30N;ago.-22;-3.6967302;40.4220373
FUE_01_0053;ZV;CENTRO;PLAZA GUARDIAS DE CORPS, 4 ;C/V CONDE DUQUE;439731,8;4475414,52;ETRS89 / UTM  Zona 30N;ago.-22;-3.7104941;40.4271838
FUE_01_0054;VP;CENTRO;GRAN V÷A, 69;;439737,76;4474945,45;ETRS89 / UTM  Zona 30N;ago.-22;-3.7103794;40.4229586
FUE_01_0055;VP;CENTRO;CABALLERO DE GRACIA, 40;C/V GRAN V÷A, 1;440824,97;4474488,94;ETRS89 / UTM  Zona 30N;ago.-22;-3.6975217;40.4189242
FUE_01_0056;ZV;CENTRO;PASEO DE RECOLETOS 1;C/V PZA. CIBELES EN BULEVAR JUNTO PARADAS DE AUTOBÈS;441185,92;4474584,23;ETRS89 / UTM  Zona 30N;ago.-22;-3.6932761;40.4198082
FUE_01_0057;ZV;CENTRO;TIRSO DE MOLINA 2;JUNTO µREA INFANTIL;440295,29;4473761,7;ETRS89 / UTM  Zona 30N;ago.-22;-3.7036965;40.412335
FUE_01_0058;VP;CENTRO;TOLEDO 40;FRENTE Nß 40;439964,21;4473787,04;ETRS89 / UTM  Zona 30N;ago.-22;-3.7076008;40.4125395
FUE_01_0059;VP;CENTRO;PLAZA PLATERIA DE MARTINEZ 3;;441129,77;4473799,75;ETRS89 / UTM  Zona 30N;ago.-22;-3.6938653;40.4127372
FUE_01_0061;ZV;CENTRO;CALLE HUERTAS 71;C/V CALLE JESÈS;441001,17;4473841,53;ETRS89 / UTM  Zona 30N;ago.-22;-3.6953848;40.4131045
FUE_01_0062;ZV;CENTRO;CALLE SAN LUCAS 1;C/V SAN GREGORIO;440864,72;4475031,35;ETRS89 / UTM  Zona 30N;ago.-22;-3.6971036;40.4238133
FUE_01_0063;ZV;CENTRO;PARQUE CASINO DE LA REINA;JUNTO µREA CANINA;440133,39;4473044,21;ETRS89 / UTM  Zona 30N;ago.-22;-3.7055371;40.4058599
FUE_01_0064;ZV;CENTRO;PARQUE CASINO DE LA REINA;JUNTO µREA CANINA;440116,53;4473053,82;ETRS89 / UTM  Zona 30N;ago.-22;-3.7057367;40.4059452
FUE_01_0065;VP;CENTRO;PLAZA CONDE DE BARAJAS 6;;439881,49;4474004,73;ETRS89 / UTM  Zona 30N;ago.-22;-3.7085963;40.4144946
FUE_01_0066;ZV;CENTRO;PLAZA VIRGEN DE LA PALOMA 1;C/V CALLE LA PALOMA 21;439587,39;4473309,42;ETRS89 / UTM  Zona 30N;ago.-22;-3.7119965;40.4082096
FUE_01_0067;VP;CENTRO;CALLE SANTA CRUZ DE MARCENADO 31;;439491,54;4475691,51;ETRS89 / UTM  Zona 30N;ago.-22;-3.7133527;40.4296616
FUE_01_0068;VP;CENTRO;CALLE SAN PEDRO 20;C/V GOBERNADOR;441045,86;4473662,57;ETRS89 / UTM  Zona 30N;ago.-22;-3.6948415;40.4114955
FUE_01_0069;ZV;CENTRO;PLAZA SANTA BARBARA 10;;440912,85;4475331,47;ETRS89 / UTM  Zona 30N;ago.-22;-3.6965641;40.4265203
FUE_01_0070;ZV;CENTRO;PLAZA CONDE DE MIRANDA 2;;439795,53;4474038;ETRS89 / UTM  Zona 30N;ago.-22;-3.7096126;40.414788
FUE_01_0071;VP;CENTRO;C/ ATOCHA, 73 ;C/V C/ AMOR DE DIOS;440722,03;4473750,16;ETRS89 / UTM  Zona 30N;ago.-22;-3.6986661;40.4122616
FUE_01_0072;VP;CENTRO;C/ SANTA ISABEL, 34 ;C/V C/ BUENAVISTA.;440767;4473568,56;ETRS89 / UTM  Zona 30N;ago.-22;-3.6981192;40.4106288
FUE_01_0073;ZV;CENTRO;C/ DOCTOR MATA, 2 ;C/V C/ SANTA ISABEL, PLAZA JUAN GOYTISOLO;441076,94;4473375,67;ETRS89 / UTM  Zona 30N;ago.-22;-3.6944487;40.4089132
FUE_01_0074;ZV;CENTRO;C/ SANTA ISABEL, 52 ;JUNTO AL MUSEO REINA SOF÷A;441169,8;4473328,31;ETRS89 / UTM  Zona 30N;ago.-22;-3.69335;40.4084931
FUE_01_0075;ZV;CENTRO;PLAZA DE LA CORRALA ;C/ MES‡N DE PAREDES 63.;440360,55;4473284,54;ETRS89 / UTM  Zona 30N;ago.-22;-3.7028827;40.4080412
FUE_01_0076;ZV;CENTRO;PLAZA DEL CAMPILLO DEL MUNDO NUEVO ;;439879,79;4473088,97;ETRS89 / UTM  Zona 30N;ago.-22;-3.7085298;40.4062448
FUE_01_0077;VP;CENTRO;CALLE CALATRAVA, 37;C/V C/ DEL µNGEL;439480,39;4473479,01;ETRS89 / UTM  Zona 30N;ago.-22;-3.7132736;40.4097296
FUE_01_0078;VP;CENTRO;PLAZA DE SAN FRANCISCO, 4 ;C/V C/ SAN BUENAVENTURA;439403,92;4473600,19;ETRS89 / UTM  Zona 30N;ago.-22;-3.7141863;40.4108156
FUE_01_0079;ZV;CENTRO;Pß VIRGEN DEL PUERTO, 1 ;C/V GLORIETA DE SAN VICENTE;438926,15;4474579,57;ETRS89 / UTM  Zona 30N;ago.-22;-3.7199109;40.4196034
FUE_01_0080;ZV;CENTRO;PLAZA DEL REY;CALLE BARQUILLO 'FRENTE Nß 6-8;440972,65;4474618,41;ETRS89 / UTM  Zona 30N;ago.-22;-3.695793;40.420101
FUE_01_0081;VP;CENTRO;PLAZA CONDE DE TORENO 1;C/V CALLE REYES;439840,89;4475100,89;ETRS89 / UTM  Zona 30N;ago.-22;-3.7091785;40.4243663
FUE_01_0082;VP;CENTRO;CALLE AMANIEL 10;C/V TRAVES÷A CONDE DUQUE;439827,58;4475257,57;ETRS89 / UTM  Zona 30N;ago.-22;-3.7093502;40.4257768
FUE_01_0083;VP;CENTRO;CALLE MAYOR 32;C/V BORDADORES;439948,63;4474192,11;ETRS89 / UTM  Zona 30N;ago.-22;-3.7078227;40.4161874
FUE_01_0084;VP;CENTRO;PLAZA DE SANTIAGO 4;C/V SANTA CLARA;439695,29;4474251,51;ETRS89 / UTM  Zona 30N;ago.-22;-3.7108142;40.4167042
FUE_01_0085;VP;CENTRO;CALLE ALCALµ, 7;JUNTO CANALEJAS;440501,68;4474321,02;ETRS89 / UTM  Zona 30N;ago.-22;-3.7013164;40.4173884
FUE_01_0086;VP;CENTRO;CALLE MAESTRO GUERRERO 8A;C/V DOS AMIGOS;439711;4475108,37;ETRS89 / UTM  Zona 30N;ago.-22;-3.7107103;40.4244243
FUE_01_0087;VP;CENTRO;CALLE LIBREROS 1;FRENTE Nß 4 C/V FLOR ALTA;440040,12;4474776,56;ETRS89 / UTM  Zona 30N;ago.-22;-3.7067995;40.421459
FUE_01_0088;VP;CENTRO;CALLE HORTALEZA 37;C/V CALLE PêREZ GALD‡S;440643,12;4474862,42;ETRS89 / UTM  Zona 30N;ago.-22;-3.6996999;40.4222757
FUE_01_0089;VP;CENTRO;CALLE CRUZ VERDE 16;C/V TRAV. CRUZ VERDE;440015,15;4475042,5;ETRS89 / UTM  Zona 30N;ago.-22;-3.7071189;40.4238529
FUE_01_0090;VP;CENTRO;CALLE SAN BERNARDO 55;C/V CALLE ESPIRITU SANTO;440013,17;4475256,08;ETRS89 / UTM  Zona 30N;ago.-22;-3.7071624;40.4257768
FUE_01_0091;VP;CENTRO;CALLE RASTRILLO 1;C/V CALLE ESPIRITU SANTO;440294,56;4475210,31;ETRS89 / UTM  Zona 30N;ago.-22;-3.7038411;40.4253847
FUE_01_0092;VP;CENTRO;GLORIETA EMBAJADORES, 1;GLORIETA EMBAJADORES FAROLA 29 C/V CALLE EMBAJADORES.;440373,14;4473003,85;ETRS89 / UTM  Zona 30N;ago.-22;-3.702708;40.4055135
FUE_01_0093;VP;CENTRO; CUESTA SANTO DOMINGO 12;C/V CAMPOMANES;439827,36;4474582,39;ETRS89 / UTM  Zona 30N;ago.-22;-3.7092889;40.4196945
FUE_01_0094;VP;CENTRO;PLAZA ENCARNACION 2;C/V CALLE DE LA ENCARNACI‡N;439682,15;4474587,78;ETRS89 / UTM  Zona 30N;ago.-22;-3.711001;40.4197325
FUE_01_0095;VP;CENTRO;CALLE TOLEDO, 61 C/V C/ SAN MILLµN;PLAZA DE LA CEBADA;439925,64;4473641,7;ETRS89 / UTM  Zona 30N;ago.-22;-3.7080417;40.4112274
FUE_01_0096;VP;CENTRO;CALLE PRECIADOS, 35;C/V CALLE TERNERA;440008,5;4474583,72;ETRS89 / UTM  Zona 30N;ago.-22;-3.707154;40.4197195
FUE_01_0097;ZV;CENTRO;PLAZA DE PONTEJOS, 2;;440246,19;4474163,66;ETRS89 / UTM  Zona 30N;ago.-22;-3.7043129;40.4159525
FUE_01_0098;VP;CENTRO;CALLE IMPERIAL, 10;;440012,71;4474018,14;ETRS89 / UTM  Zona 30N;ago.-22;-3.707051;40.4146248
FUE_01_0099;VP;CENTRO;PLAZA DE LA PAJA, 6;C/V PR÷NCIPE ANGLONµ;439645,39;4473879,88;ETRS89 / UTM  Zona 30N;ago.-22;-3.7113671;40.4133528
FUE_01_0100;ZV;CENTRO;CALLE LAVAPIES, 19;;440386,18;4473583,51;ETRS89 / UTM  Zona 30N;ago.-22;-3.7026087;40.4107363
FUE_01_0101;VP;CENTRO;CALLE ALMUDENA, 3;C/V BAILêN 19;439487,6;4474130,22;ETRS89 / UTM  Zona 30N;ago.-22;-3.7132505;40.4155965
FUE_01_0102;VP;CENTRO;CALLE SAN NICOLAS, 15;FRENTE AL Nß 15;439604,94;4474249,49;ETRS89 / UTM  Zona 30N;ago.-22;-3.7118789;40.4166794
FUE_01_0103;ZV;CENTRO;PLAZA DEL BIOMBO, 1;C/V CALLE CALDER‡N DE LA BARCA;439660,72;4474162,99;ETRS89 / UTM  Zona 30N;ago.-22;-3.7112133;40.4159043
FUE_01_0104;VP;CENTRO;CALLE GRAFAL, 10;FRENTE Nß 10 C/V SAN BRUNO;439909,79;4473842,61;ETRS89 / UTM  Zona 30N;ago.-22;-3.7082475;40.4130361
FUE_01_0105;VP;CENTRO;CALLE TAMAYO Y BAUS, 5;C/V CALLE MARQUES DEL MONASTERIO;441197,94;4474932,6;ETRS89 / UTM  Zona 30N;ago.-22;-3.6931666;40.4229473
FUE_01_0106;ZV;CENTRO;CALLE FUENCARRAL, 43;;440546,73;4474956,6;ETRS89 / UTM  Zona 30N;ago.-22;-3.7008449;40.4231172
FUE_01_0107;VP;CENTRO;PLAZA DE SAN MARTIN, 1;;440018,99;4474418,46;ETRS89 / UTM  Zona 30N;ago.-22;-3.7070148;40.4182315
FUE_01_0108;VP;CENTRO;CALLE AVE MARIA, 34;;440521,26;4473531,84;ETRS89 / UTM  Zona 30N;ago.-22;-3.7010119;40.4102805
FUE_01_0109;VP;CENTRO;CALLE SANTA ISABEL, 47;C/V SANTA INêS;440948,62;4473442,39;ETRS89 / UTM  Zona 30N;ago.-22;-3.6959671;40.4095051
FUE_01_0110;VP;CENTRO;PASEO DEL PRADO, 8;C/V PLAZA DE LAS CORTES 6;441050,28;4474116,9;ETRS89 / UTM  Zona 30N;ago.-22;-3.6948315;40.4155886
FUE_01_0111;VP;CENTRO;CALLE SAN AGUSTIN, 2;C/V CALLE PRADO;440871,73;4474089,38;ETRS89 / UTM  Zona 30N;ago.-22;-3.6969334;40.4153281
FUE_01_0112;VP;CENTRO;CARRERA DE SAN JER‡NIMO, 21;;440739,77;4474235,61;ETRS89 / UTM  Zona 30N;ago.-22;-3.6985023;40.416636
FUE_01_0113;VP;CENTRO;CALLE VIRGEN DE LOS PELIGROS , 2;;440667,69;4474408,14;ETRS89 / UTM  Zona 30N;ago.-22;-3.6993679;40.4181851
FB_01_000052;ZV;CENTRO;JARDINES DE LA PLAZA DE ORIENTE;A. 3 ˙ LEPANTO;439604,66;4474347,24;ETRS89 / UTM  Zona 30N;ago.-22;-3.7118915;40.41756
FB_01_000051;ZV;CENTRO;JARDINES DE SABATINI;A. 1 ˙ PLATAFORMA;439448,55;4474672,62;ETRS89 / UTM  Zona 30N;ago.-22;-3.7137624;40.4204798
FB_900013;ZV;CENTRO;MADRID R÷O;Z.06. - VIRGEN DEL PUERTO;438776,1;4474277,1;ETRS89 / UTM  Zona 30N;ago.-22;-3.7216504;40.4168676
FB_900014;ZV;CENTRO;MADRID R÷O;Z.07. - ERMITA VIRGEN DEL PUERTO;438732,8;4474119,6;ETRS89 / UTM  Zona 30N;ago.-22;-3.7221456;40.4154456
FB_XX_2;ZV;CENTRO;JARDINES DE SABATINI;;439502,04;4474667,52;ETRS89 / UTM  Zona 30N;ago.-22;-3.7131315;40.4204378
FUE_02_0001;ZV;ARGANZUELA;ED 3/3 MENDEZ ALVARO - DELICIAS;PLAZA DEL AMANECER EN MêNDEZ µLVARO Nß3;441880,8298;4472295,84;ETRS89 / UTM  Zona 30N;ago.-22;-3.6848763;40.399242
FUE_02_0002;ZV;ARGANZUELA;RAMIREZ DE PRADO;C/RAMIREZ DE PRADO Nß 5;441666,9056;4472270,393;ETRS89 / UTM  Zona 30N;ago.-22;-3.6873947;40.3989978
FUE_02_0003;ZV;ARGANZUELA;Z.V. PUERTO DE  BEJAR;CALLE PUERTO DE BEJAR Nß 24;441726,2999;4471118,306;ETRS89 / UTM  Zona 30N;ago.-22;-3.6865894;40.3886234
FUE_02_0005;ZV;ARGANZUELA;PARQUE DEL BRONCE PVF;C/BRONCE Nß 19;441652,7373;4471307,878;ETRS89 / UTM  Zona 30N;ago.-22;-3.6874734;40.390326
FUE_02_0007;ZV;ARGANZUELA;PARQUE DE DELICIAS;C/P∑RROCO EUSEBIO CUENCA Nß 46;441584,4768;4471881,322;ETRS89 / UTM  Zona 30N;ago.-22;-3.6883302;40.395487
FUE_02_0009;ZV;ARGANZUELA;PZA. LUCA DE TENA;PZA  LUCA DE TENA N ß2;441149,1029;4472614,311;ETRS89 / UTM  Zona 30N;ago.-22;-3.6935279;40.4020595
FUE_02_0010;ZV;ARGANZUELA;PZA  LUCA DE TENA N ß13;JARD÷N DE PALESTINA;441102,0141;4472613,682;ETRS89 / UTM  Zona 30N;ago.-22;-3.6940827;40.4020505
FUE_02_0012;ZV;ARGANZUELA;C/PALOS DE LA FRONTERA Nß 42 ;JARD÷N DE PALESTINA;441049,3744;4472708,743;ETRS89 / UTM  Zona 30N;ago.-22;-3.6947118;40.4029032
FUE_02_0013;ZV;ARGANZUELA;C/CANARIAS Nß 22;JARD÷N DE PALESTINA;441021,0747;4472630,963;ETRS89 / UTM  Zona 30N;ago.-22;-3.6950381;40.4022005
FUE_02_0014;ZV;ARGANZUELA;PZA. RUTILIO GACIS;PLAZA RUTILIO GACIS Nß 2;440862,496;4471751,96;ETRS89 / UTM  Zona 30N;ago.-22;-3.696825;40.3942707
FUE_02_0015;ZV;ARGANZUELA;PZA. PE•UELAS;PLAZA DE LAS PE•UELAS Nß 12;440374,2136;4472508,34;ETRS89 / UTM  Zona 30N;ago.-22;-3.702649;40.4010498
FUE_02_0016;ZV;ARGANZUELA;PARQUE PE•UELAS;PASEO ESPERANZA Nß 25 ;440150,3977;4472512,842;ETRS89 / UTM  Zona 30N;ago.-22;-3.7052867;40.4010743
FUE_02_0017;ZV;ARGANZUELA;POL. DE YESERIAS FASES II Y III;PASEO YESER÷AS 25;439947,8767;4472323,984;ETRS89 / UTM  Zona 30N;ago.-22;-3.7076552;40.3993583
FUE_02_0019;ZV;ARGANZUELA;JARDIN DEL RASTRO;CALLE CONCEJAL BENITO MART÷N LOZANO 10;439836,9336;4472997,919;ETRS89 / UTM  Zona 30N;ago.-22;-3.7090263;40.4054215
FUE_02_0021;ZV;ARGANZUELA;JARDIN MAESTRO PADILLA;C/SAN ALEJANDRO Nß 14;438746,6629;4472892,771;ETRS89 / UTM  Zona 30N;ago.-22;-3.7218641;40.4043948
FUE_02_0022;ZV;ARGANZUELA;ACACIAS - PASILLO VERDE;C/ GAS‡METRO 26. DENTRO DEL PARQUE;439901,8829;4472690,686;ETRS89 / UTM  Zona 30N;ago.-22;-3.7082319;40.4026585
FUE_02_0023;ZV;ARGANZUELA;ACACIAS - PASILLO VERDE;C/ GAS‡METRO 26. DENTRO DEL PARQUE;439901,8829;4472690,686;ETRS89 / UTM  Zona 30N;ago.-22;-3.7082319;40.4026585
FUE_02_0024;ZV;ARGANZUELA;PARQUE IMPERIAL PVF;CALLE SANTA MAR÷A LA REAL DE NIEVA N ß16;439064,7488;4472939,938;ETRS89 / UTM  Zona 30N;ago.-22;-3.7181203;40.404843
FUE_02_0025;ZV;ARGANZUELA;MED. C/ TOLEDO;;435631,2566;4472660,027;ETRS89 / UTM  Zona 30N;ago.-22;-3.7585523;40.4020631
FUE_02_0027;ZV;ARGANZUELA;MED. C/ TOLEDO;;439594,64;4473082,26;ETRS89 / UTM  Zona 30N;ago.-22;-3.7118895;40.4061637
FUE_02_0028;ZV;ARGANZUELA;ED 2/8 VALDELASIERRA; C/VALDELASIERRA Nß 10;440179,2701;4472102;ETRS89 / UTM  Zona 30N;ago.-22;-3.7049079;40.3973753
FUE_02_0029;ZV;ARGANZUELA;HIERRO - ANTRACITA;C/ DEL SODIO Nß 3;441417,3844;4471208,77;ETRS89 / UTM  Zona 30N;ago.-22;-3.6902372;40.3894166
FUE_02_0030;ZV;ARGANZUELA;HIERRO - ANTRACITA;C/ DEL SODIO Nß 3;441432,213;4471174,59;ETRS89 / UTM  Zona 30N;ago.-22;-3.6900594;40.3891097
FUE_02_0031;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;;441987,97;4470942,712;ETRS89 / UTM  Zona 30N;ago.-22;-3.6834906;40.3870597
FUE_02_0033;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;;442166,2839;4471171,48;ETRS89 / UTM  Zona 30N;ago.-22;-3.6814107;40.389133
FUE_02_0034;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;C/VILLARROBLEDO S/N;441885,259;4470834,183;ETRS89 / UTM  Zona 30N;ago.-22;-3.6846907;40.3860749
FUE_02_0035;ZV;ARGANZUELA;PARQUE MIRADOR TIERNO GALVAN PVF;C/NEBULOSAS N ß2 ;441891,0304;4471698,467;ETRS89 / UTM  Zona 30N;ago.-22;-3.6847016;40.3938613
FUE_02_0037;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;EN LACOTA. C/TITµN Nß 2;442126,2715;4471306,252;ETRS89 / UTM  Zona 30N;ago.-22;-3.6818943;40.3903443
FUE_02_0038;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;EN LA COTA. C/TITµN Nß 2;441892,162;4471013,363;ETRS89 / UTM  Zona 30N;ago.-22;-3.6846258;40.3876895
FUE_02_0039;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN,  Pß  CATALPAS JUNTO A LA FAROLA 594;;441803,0759;4471517,317;ETRS89 / UTM  Zona 30N;ago.-22;-3.6857213;40.3922232
FUE_02_0040;ZV;ARGANZUELA;PARQUE ENRIQUE TIERNO GALVAN;;442001,4877;4471569,775;ETRS89 / UTM  Zona 30N;ago.-22;-3.6833884;40.3927097
FUE_02_0045;ZV;ARGANZUELA;JARDINES FERNANDO POO - TORRES MIRANDA;C/JAIME EL CONQUISTADOR Nß 6, JUNTO ZONA INFANTIL;440749,6469;4472152,483;ETRS89 / UTM  Zona 30N;ago.-22;-3.6981919;40.3978708
