identificador,matricula,distrito,barrio,calle,num_finca,location
http://www.group10.org/pl/resource/ParkingMeter/PM301110068,301110068,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S75,55,http://www.group10.org/pl/resource/Location/L28834
http://www.group10.org/pl/resource/ParkingMeter/PM301110071,301110071,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S75,69,http://www.group10.org/pl/resource/Location/L28835
http://www.group10.org/pl/resource/ParkingMeter/PM301110075,301110075,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S75,85,http://www.group10.org/pl/resource/Location/L28836
http://www.group10.org/pl/resource/ParkingMeter/PM301110008,301110008,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S77,2,http://www.group10.org/pl/resource/Location/L28837
http://www.group10.org/pl/resource/ParkingMeter/PM301110047,301110047,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S79,43,http://www.group10.org/pl/resource/Location/L28838
http://www.group10.org/pl/resource/ParkingMeter/PM301110074,301110074,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S79,104,http://www.group10.org/pl/resource/Location/L28839
http://www.group10.org/pl/resource/ParkingMeter/PM301110006,301110006,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S80,2,http://www.group10.org/pl/resource/Location/L28840
http://www.group10.org/pl/resource/ParkingMeter/PM301120020,301120020,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S83,1,http://www.group10.org/pl/resource/Location/L28841
http://www.group10.org/pl/resource/ParkingMeter/PM301120019,301120019,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S83,3,http://www.group10.org/pl/resource/Location/L28842
http://www.group10.org/pl/resource/ParkingMeter/PM301110028,301110028,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S85,2,http://www.group10.org/pl/resource/Location/L28844
http://www.group10.org/pl/resource/ParkingMeter/PM301110067,301110067,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-01,http://www.group10.org/pl/resource/Street/S86,5,http://www.group10.org/pl/resource/Location/L28845
http://www.group10.org/pl/resource/ParkingMeter/PM301210024,301210024,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S87,1,http://www.group10.org/pl/resource/Location/L28846
http://www.group10.org/pl/resource/ParkingMeter/PM301210057,301210057,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S88,87,http://www.group10.org/pl/resource/Location/L28847
http://www.group10.org/pl/resource/ParkingMeter/PM301210064,301210064,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S88,103,http://www.group10.org/pl/resource/Location/L28848
http://www.group10.org/pl/resource/ParkingMeter/PM301210053,301210053,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S89,35,http://www.group10.org/pl/resource/Location/L28849
http://www.group10.org/pl/resource/ParkingMeter/PM301210036,301210036,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S89,12,http://www.group10.org/pl/resource/Location/L28850
http://www.group10.org/pl/resource/ParkingMeter/PM301210042,301210042,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S90,7,http://www.group10.org/pl/resource/Location/L28851
http://www.group10.org/pl/resource/ParkingMeter/PM301210015,301210015,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S90,16,http://www.group10.org/pl/resource/Location/L28852
http://www.group10.org/pl/resource/ParkingMeter/PM301210052,301210052,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S90,27,http://www.group10.org/pl/resource/Location/L28853
http://www.group10.org/pl/resource/ParkingMeter/PM301210060,301210060,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S90,32,http://www.group10.org/pl/resource/Location/L28854
http://www.group10.org/pl/resource/ParkingMeter/PM301210006,301210006,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S91,35,http://www.group10.org/pl/resource/Location/L28855
http://www.group10.org/pl/resource/ParkingMeter/PM301210033,301210033,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S91,119,http://www.group10.org/pl/resource/Location/L28856
http://www.group10.org/pl/resource/ParkingMeter/PM301210061,301210061,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S92,16,http://www.group10.org/pl/resource/Location/L28857
http://www.group10.org/pl/resource/ParkingMeter/PM301210019,301210019,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S93,32,http://www.group10.org/pl/resource/Location/L28858
http://www.group10.org/pl/resource/ParkingMeter/PM301210066,301210066,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S95,2,http://www.group10.org/pl/resource/Location/L28859
http://www.group10.org/pl/resource/ParkingMeter/PM301210007,301210007,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S96,3,http://www.group10.org/pl/resource/Location/L28860
