identificador,gis_x,gis_y
http://www.group10.org/pl/resource/Location/L192,439548.68,4474269.93
http://www.group10.org/pl/resource/Location/L193,439695.61,4473609.11
http://www.group10.org/pl/resource/Location/L194,439661.91,4473616.62
http://www.group10.org/pl/resource/Location/L195,439613.03,4473404.44
http://www.group10.org/pl/resource/Location/L196,439609.03,4473381.27
http://www.group10.org/pl/resource/Location/L197,439604.7,4473358.82
http://www.group10.org/pl/resource/Location/L198,439893.78,4474433.77
http://www.group10.org/pl/resource/Location/L199,439676.93,4473672.48
http://www.group10.org/pl/resource/Location/L200,439379.15,4473989.87
http://www.group10.org/pl/resource/Location/L201,439537.86,4473782.36
http://www.group10.org/pl/resource/Location/L202,439467.91,4473726.32
http://www.group10.org/pl/resource/Location/L203,439457.55,4473717.38
http://www.group10.org/pl/resource/Location/L204,439463.95,4473717.98
http://www.group10.org/pl/resource/Location/L205,439413.46,4473467.54
http://www.group10.org/pl/resource/Location/L206,439386.17,4473452.9
http://www.group10.org/pl/resource/Location/L207,439370.71,4473444.66
http://www.group10.org/pl/resource/Location/L208,439356.99,4473437.53
http://www.group10.org/pl/resource/Location/L209,439343.09,4473437
http://www.group10.org/pl/resource/Location/L210,439325.01,4473420.52
http://www.group10.org/pl/resource/Location/L211,439277.93,4473395.72
http://www.group10.org/pl/resource/Location/L212,439617.46,4473875.15
http://www.group10.org/pl/resource/Location/L213,439601.59,4473833.74
http://www.group10.org/pl/resource/Location/L214,439439.39,4473422.94
http://www.group10.org/pl/resource/Location/L215,439442.88,4473421.01
http://www.group10.org/pl/resource/Location/L216,439422.03,4473413.42
http://www.group10.org/pl/resource/Location/L217,439393.06,4473397.86
http://www.group10.org/pl/resource/Location/L218,439391.21,4473392.98
http://www.group10.org/pl/resource/Location/L219,439327.68,4473357.61
http://www.group10.org/pl/resource/Location/L220,439364.81,4473382.55
http://www.group10.org/pl/resource/Location/L221,439350.82,4473375.31
http://www.group10.org/pl/resource/Location/L222,439356.91,4473374.05
http://www.group10.org/pl/resource/Location/L223,439321.09,4473359.92
http://www.group10.org/pl/resource/Location/L224,439893.38,4473835.77
http://www.group10.org/pl/resource/Location/L225,439890.27,4473828.61
http://www.group10.org/pl/resource/Location/L226,439384.4,4473611.24
http://www.group10.org/pl/resource/Location/L227,439360.56,4473647.96
http://www.group10.org/pl/resource/Location/L228,439339.95,4473684.88
http://www.group10.org/pl/resource/Location/L229,439315.22,4473727.12
http://www.group10.org/pl/resource/Location/L230,439621.76,4473645.91
http://www.group10.org/pl/resource/Location/L231,439565.97,4473633.13
http://www.group10.org/pl/resource/Location/L232,439538.57,4473615.24
http://www.group10.org/pl/resource/Location/L233,439524.53,4473609.79
http://www.group10.org/pl/resource/Location/L234,439512.13,4473605.07
http://www.group10.org/pl/resource/Location/L235,439484.06,4473594.05
http://www.group10.org/pl/resource/Location/L236,439481.26,4473599.98
http://www.group10.org/pl/resource/Location/L237,439460.48,4473591.5
http://www.group10.org/pl/resource/Location/L238,439469.07,4473588.23
http://www.group10.org/pl/resource/Location/L239,439431.74,4473498.16
http://www.group10.org/pl/resource/Location/L240,439442.03,4473515.76
http://www.group10.org/pl/resource/Location/L241,439518.47,4473540.06
http://www.group10.org/pl/resource/Location/L242,439499.78,4473582.81
http://www.group10.org/pl/resource/Location/L243,439828.5,4473946.45
http://www.group10.org/pl/resource/Location/L244,439855.41,4474088.61
http://www.group10.org/pl/resource/Location/L245,439866.44,4474091.15
http://www.group10.org/pl/resource/Location/L246,439842.91,4474085.54
http://www.group10.org/pl/resource/Location/L247,439618.63,4474144.43
http://www.group10.org/pl/resource/Location/L248,439612.08,4474144.34
http://www.group10.org/pl/resource/Location/L249,439721.38,4473884.4
http://www.group10.org/pl/resource/Location/L250,439708.11,4473826.72
http://www.group10.org/pl/resource/Location/L251,439703.95,4473806.36
http://www.group10.org/pl/resource/Location/L252,439697.28,4473712.16
http://www.group10.org/pl/resource/Location/L253,439693.25,4474290.59
http://www.group10.org/pl/resource/Location/L254,439690.35,4474324.43
http://www.group10.org/pl/resource/Location/L255,439754.39,4474506.68
http://www.group10.org/pl/resource/Location/L256,439770.28,4474527.17
http://www.group10.org/pl/resource/Location/L257,439836.63,4474692.4
http://www.group10.org/pl/resource/Location/L258,439885.36,4474676.57
http://www.group10.org/pl/resource/Location/L259,439963.23,4473885.42
http://www.group10.org/pl/resource/Location/L260,439739.09,4473891.07
http://www.group10.org/pl/resource/Location/L261,439673.82,4473909.71
http://www.group10.org/pl/resource/Location/L262,439660.41,4473914.5
http://www.group10.org/pl/resource/Location/L263,439613.53,4473938.66
http://www.group10.org/pl/resource/Location/L264,439641.95,4473920.92
http://www.group10.org/pl/resource/Location/L265,439621.3,4473935.67
http://www.group10.org/pl/resource/Location/L266,439567.2,4473935.78
http://www.group10.org/pl/resource/Location/L267,439580.77,4473945.07
http://www.group10.org/pl/resource/Location/L268,439513.07,4473936.02
http://www.group10.org/pl/resource/Location/L269,439567.36,4473944.99
http://www.group10.org/pl/resource/Location/L270,439496.11,4473936.38
http://www.group10.org/pl/resource/Location/L271,439473.32,4473936.58
http://www.group10.org/pl/resource/Location/L272,439541.35,4473945.15
http://www.group10.org/pl/resource/Location/L273,439532.49,4473935.91
http://www.group10.org/pl/resource/Location/L274,439511.85,4473945.25
http://www.group10.org/pl/resource/Location/L275,439498.67,4473945.48
http://www.group10.org/pl/resource/Location/L276,439367.18,4473946.4
http://www.group10.org/pl/resource/Location/L277,439370.79,4473937.73
http://www.group10.org/pl/resource/Location/L278,439297.05,4473939.05
http://www.group10.org/pl/resource/Location/L279,439271.89,4473939.43
http://www.group10.org/pl/resource/Location/L280,439225.39,4473948.82
http://www.group10.org/pl/resource/Location/L281,439253.71,4473939.72
http://www.group10.org/pl/resource/Location/L282,439216.99,4473940.07
http://www.group10.org/pl/resource/Location/L283,439151.36,4473853.53
http://www.group10.org/pl/resource/Location/L284,439142.55,4473830.76
http://www.group10.org/pl/resource/Location/L285,439134.04,4473808.46
http://www.group10.org/pl/resource/Location/L286,439129.1,4473795.47
http://www.group10.org/pl/resource/Location/L287,439121.85,4473777.3
http://www.group10.org/pl/resource/Location/L288,439111.58,4473750.42
http://www.group10.org/pl/resource/Location/L289,439102.36,4473727.58
http://www.group10.org/pl/resource/Location/L290,439090.32,4473696.28
http://www.group10.org/pl/resource/Location/L291,439078.16,4473664.28
http://www.group10.org/pl/resource/Location/L292,439076.91,4473616.39
http://www.group10.org/pl/resource/Location/L293,439083.22,4473601.82
http://www.group10.org/pl/resource/Location/L294,439088.22,4473591.83
http://www.group10.org/pl/resource/Location/L295,439106.72,4473553.08
http://www.group10.org/pl/resource/Location/L296,439129.02,4473505.46
http://www.group10.org/pl/resource/Location/L297,439144.26,4473472.94
http://www.group10.org/pl/resource/Location/L298,439155.63,4473448.63
http://www.group10.org/pl/resource/Location/L299,439161.49,4473435.66
http://www.group10.org/pl/resource/Location/L300,439172.32,4473413.83
http://www.group10.org/pl/resource/Location/L301,439188.22,4473379.91
http://www.group10.org/pl/resource/Location/L302,439211.37,4473360.57
http://www.group10.org/pl/resource/Location/L303,439255.16,4473335.7
http://www.group10.org/pl/resource/Location/L304,439378.52,4473270.2
http://www.group10.org/pl/resource/Location/L305,439471.5,4473224.31
http://www.group10.org/pl/resource/Location/L306,439495.36,4473211.65
http://www.group10.org/pl/resource/Location/L307,439093.98,4473580.23
http://www.group10.org/pl/resource/Location/L308,439119.65,4473525.43
http://www.group10.org/pl/resource/Location/L309,439778.63,4473511.78
http://www.group10.org/pl/resource/Location/L310,439756,4473523.86
http://www.group10.org/pl/resource/Location/L311,439949.47,4474685.73
http://www.group10.org/pl/resource/Location/L312,439972.78,4474693.21
http://www.group10.org/pl/resource/Location/L313,439996.36,4474700.88
http://www.group10.org/pl/resource/Location/L314,439616.86,4473554.87
http://www.group10.org/pl/resource/Location/L315,439945.02,4473767.55
http://www.group10.org/pl/resource/Location/L316,439668.45,4473292.03
http://www.group10.org/pl/resource/Location/L317,439656.49,4473265.41
