,calle
363,"ARGUMOSA, CALLE, DE"
364,"ARGUMOSA, CALLE, DE"
365,"ARGUMOSA, CALLE, DE"
366,"ARGUMOSA, CALLE, DE"
367,"ARGUMOSA, CALLE, DE"
368,"ARGUMOSA, CALLE, DE"
369,"ARGUMOSA, CALLE, DE"
370,"ARGUMOSA, CALLE, DE"
371,"ARGUMOSA, CALLE, DE"
372,"ARGUMOSA, CALLE, DE"
373,"ARGUMOSA, CALLE, DE"
374,"ARGUMOSA, CALLE, DE"
375,"ARGUMOSA, CALLE, DE"
376,"ARGUMOSA, CALLE, DE"
377,"ARGUMOSA, CALLE, DE"
378,"ATOCHA, CALLE, DE"
379,"ATOCHA, CALLE, DE"
380,"ATOCHA, CALLE, DE"
381,"ATOCHA, CALLE, DE"
382,"ATOCHA, CALLE, DE"
383,"ATOCHA, CALLE, DE"
384,"ATOCHA, CALLE, DE"
385,"ATOCHA, CALLE, DE"
386,"ATOCHA, CALLE, DE"
387,"ATOCHA, CALLE, DE"
388,"ATOCHA, CALLE, DE"
389,"ATOCHA, CALLE, DE"
390,"ATOCHA, RONDA, DE"
391,"ATOCHA, RONDA, DE"
392,"ATOCHA, RONDA, DE"
393,"ATOCHA, RONDA, DE"
394,"ATOCHA, RONDA, DE"
395,"ATOCHA, RONDA, DE"
396,"ATOCHA, RONDA, DE"
397,"ATOCHA, RONDA, DE"
398,"AVE MARIA, CALLE, DEL"
399,"AVE MARIA, CALLE, DEL"
400,"AVE MARIA, CALLE, DEL"
401,"AVE MARIA, CALLE, DEL"
402,"AVE MARIA, CALLE, DEL"
403,"AVE MARIA, CALLE, DEL"
404,"AVE MARIA, CALLE, DEL"
405,"AVE MARIA, CALLE, DEL"
406,"AVE MARIA, CALLE, DEL"
407,"AVE MARIA, CALLE, DEL"
408,"AVE MARIA, CALLE, DEL"
409,"AVE MARIA, CALLE, DEL"
410,"AVE MARIA, CALLE, DEL"
411,"AVE MARIA, CALLE, DEL"
412,"AVE MARIA, CALLE, DEL"
413,"AVE MARIA, CALLE, DEL"
414,"AVE MARIA, CALLE, DEL"
415,"AVE MARIA, CALLE, DEL"
416,"BUENAVISTA, CALLE, DE"
417,"BUENAVISTA, CALLE, DE"
418,"BUENAVISTA, CALLE, DE"
419,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
420,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
421,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
422,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
423,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
424,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
425,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
426,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
427,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
428,"CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL"
429,"CAÑIZARES, CALLE, DE LOS"
430,"CAÑIZARES, CALLE, DE LOS"
431,"CAPITAN SALAZAR MARTINEZ, CALLE, DEL"
432,"CAPITAN SALAZAR MARTINEZ, CALLE, DEL"
433,"CAPITAN SALAZAR MARTINEZ, CALLE, DEL"
434,"CAPITAN SALAZAR MARTINEZ, CALLE, DEL"
435,"CAPITAN SALAZAR MARTINEZ, CALLE, DEL"
436,"CAPITAN SALAZAR MARTINEZ, CALLE, DEL"
