Órg. Gest.,Órgano Gestor,Imp. Conce,Fec. Conc.,Finalidad2,Procedimiento Conce.,Nominativa
212,DISTRITO DE USERA,1080,20210128,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,540,20210128,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,1620,20210128,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,540,20210128,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,720,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,600,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,125,20210128,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,1620,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,2160,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,125,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,250,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
212,DISTRITO DE USERA,1620,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1088.64,20210130,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,213,20210127,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1350,20210127,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,700,20210127,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1080,20210127,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,810,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,600,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1350,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,750,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,600,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1350,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1350,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,600,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,450,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,900,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1050,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1890,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,300,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1350,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
215,DISTRITO DE CIUDAD LINEAL,1080,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,400,20210129,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
221,DISTRITO DE BARAJAS,900,20210201,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
